"Slug","Titolo","volo","Tipologia","Sottotitolo","data","Sfondo","Sfondo:alt","Perchè","Perchè  desc","imm 1","imm 1:alt","TXT 1","Descr 1","imm 2","imm 2:alt","TXT 2","Descr 2","imm 3","imm 3:alt","TXT 3","Descr 3","esperienza","esperienza desc","prezzo","hotel","Pacchetti","giorni e notti"
"lloret-de-mar","Lloret de Mar","no","mete estive","La Costa Brava che non dorme mai.","Dal 30 Luglio al 4 agosto","https://framerusercontent.com/images/JjcxjnSbyxrLtg0QR75w4exZMpY.png","several boats near island","Perchè Lloret de Mar","Lloret è party puro: eventi enormi, persone da tutta Europa e serate leggendarie.","https://framerusercontent.com/images/amke7T5TCSuXikctaVAtOAf1WU0.jpg","yellow plastic round toy on green table","Boat Party","Barca su due piani, free bar e food mentre il sole scende sul mare.","https://framerusercontent.com/images/OEYgwLRS9y2QWwR0kv5hT5VYeI4.jpg","people on beach during daytime","Pool Party Suddeness","Schiuma party, beer pong, giochi e festa continua.","https://framerusercontent.com/images/uGLvdofJDnV41fSjK6P9mD9s38.webp","a view of a city at night from a hill","Barcellona by night","Tour + serata a Barceloneta con ingresso al Pacha e drink incluso.","L'ESPERIENZA SKAPPA A LLORET","Una settimana intensa, eventi organizzati e ricordi che ti porti a casa per sempre.","349€","Bolero Park Hotel","Pacchetto eventi 150€  Boat Party, Pool Party, Barcellona by night, ingressi e drink inclusi.","6 giorni e 5 notti"
"gallipoli","Gallipoli","no","mete estive","Il Salento che balla fino all’alba.","Dal 23 al 28 Luglio","https://framerusercontent.com/images/eBQtqEC2WhKMyxn98Q6VYozoeY.jpg","several boats near island","Perchè Gallipoli","Gallipoli è mare, sole e notti infuocate. Una delle mete estive più amate in Italia per chi vuole divertirsi senza andare all’estero.","https://framerusercontent.com/images/DlTtmDQhezEUE0s8v4J8IxQ8dZY.jpg","yellow plastic round toy on green table","Boat Party","Festa in barca tra mare e musica.","https://framerusercontent.com/images/SPBhRxEP8plZaGwLyrQPKsnb3pU.jpg","people on beach during daytime","Pool Party","Piscina, drink e giochi per scaldare le serate.","https://framerusercontent.com/images/EZIGM3OHHXMbbnx0Fna2MsUWMzQ.jpg","a view of a city at night from a hill","Discoteche top","Ingresso gratuito tutte le sere nei locali convenzionati.","L'esperienza SKAPPA a Gallipoli","Divertimento assicurato, organizzazione completa e zero pensieri.","259€","Apulia Home Residence","Pacchetto eventi 100€  Pacchetto desc Boat Party + Pool Party + ingressi serali.","6 giorni e 5 notti"
"zante","Zante","no","mete estive","Mare azzurro di giorno, party folli di notte.","Dal 16 al 21 Luglio","https://framerusercontent.com/images/JmguPh1hVjJGa7QU8i2Nq5E4ss.jpg","several boats near island","Perchè Zante","Zante è una delle capitali europee del divertimento estivo. Spiagge incredibili e feste che partono di giorno e finiscono quando sorge il sole.","https://framerusercontent.com/images/DlTtmDQhezEUE0s8v4J8IxQ8dZY.jpg","yellow plastic round toy on green table","Boat Party","Musica, mare e festa su una barca in mezzo al blu.","https://framerusercontent.com/images/SPBhRxEP8plZaGwLyrQPKsnb3pU.jpg","people on beach during daytime","Pool Party","Piscina, giochi, drink e vibes SKAPPA non-stop.","https://framerusercontent.com/images/ydhTbhKzfoyqLQzuC4BeMjHkA.jpg","a view of a city at night from a hill","Zante Nightlife","Serate nei club più famosi dell’isola.","L'esperienza SKAPPA a Zante","Un’esperienza pensata per chi vuole divertirsi davvero, conoscere nuove persone e vivere Zante al massimo.","349€","Jenny Hotel","Pacchetto eventi 100€  Boat Party + Pool Party.","6 giorni e 5 notti"
"malta","Malta","no","mete estive","Pool party, rooftop al tramonto e notti infinite nel cuore del Mediterraneo.","Dal 6 all'11 Agosto","https://framerusercontent.com/images/q6BiE0sSt6jDhuDC63Qx4Iln1Lc.jpg","high-angle view of body of water","Perchè Malta","Malta è il mix perfetto tra mare cristallino, party esclusivi e un’atmosfera internazionale. Qui si dorme poco e si vive tanto, tra pool party di giorno e serate che finiscono all’alba.","https://framerusercontent.com/images/SUPI3dWxGGpQRInPwUc62dwOq0.jpg","yellow plastic round toy on green table","Pool Party senza limiti","Due pool party organizzati SKAPPA, musica, drink e vibrazioni estive dal primo all’ultimo giorno.","https://framerusercontent.com/images/9WV01Ru0On3ShUnY9jJ2lwC8k.jpg","people on beach during daytime","Rooftop al tramonto","Aperitivi rooftop con vista, luci calde e la sensazione che la serata stia per esplodere.","https://framerusercontent.com/images/oZCSSdoCxNYqBJXqRQfjRHBeXg.jpg","a view of a city at night from a hill","Notti Malta Style","Serate in discoteca selezionate, ingresso facilitato e atmosfera internazionale.","L'esperienza SKAPPA a Malta","Tutto organizzato, zero stress. Eventi inclusi, sconti esclusivi, persone come te e la libertà di vivere Malta senza pensieri.","349€","The St. George’s Park Hotel","2 Pool Party, 2 Aperitivi Rooftop, 2 Serate in discoteca, tessera con 3 drink inclusi a persona, sconto Uber 80%, sconto ristoranti 20%, sconto tatuaggi 10%.","6 giorni e 5 notti"
"barcellona","Barcellona","","Mete classiche","Energia mediterranea, notti infinite e una città che non ti lascia dormire.","Dal 19 al 22 Marzo","https://framerusercontent.com/images/UlnhDI0vMDUw8zANaKsGkSOpFSQ.jpg","aerial photography of vehicles passing between high rise buildings","Perchè Barcellona","Barcellona è ritmo, colore e libertà. Una città dove il giorno è lento e il divertimento esplode di notte. Qui ogni strada racconta una storia, ogni locale diventa un’esperienza e ogni serata può trasformarsi in qualcosa che non avevi pianificato.","https://framerusercontent.com/images/IAfRgw7mo4oJ8b4xaShbLtfGg.jpg","a building with a large archway","Icone senza tempo","Dalla Sagrada Família al Parc Güell, Barcellona è un museo a cielo aperto. Architettura visionaria, panorami urbani e scorci che sembrano usciti da un film.","https://framerusercontent.com/images/cPv3n3y75Sqkd4O3wW2PHQZwH1s.jpg","people on beach during daytime","Quartieri che vivono","El Born, Barceloneta, El Raval. Ogni quartiere ha una sua anima, tra bar nascosti, street art, musica e locali che si accendono dopo il tramonto.","https://framerusercontent.com/images/2OaDk5xbIGD6jYShlWwrgDJDfM.jpg","a view of a city at night from a hill","Notti che non finiscono","Club iconici, beach party, serate che iniziano tardi e finiscono all’alba. A Barcellona il divertimento non ha orari e SKAPPA sa esattamente dove portarti.","La Tua Esperienza a Barcellona","Vivi Barcellona senza stress e senza pensieri. Giorni liberi per esplorare, serate organizzate nei migliori spot, nuove persone con la tua stessa voglia di divertirsi. Non è una vacanza classica: è un’esperienza SKAPPA.","319€","NH Barcelona Diagonal Center","","4 giorni e 3 notti"
"londra","Londra","","Mete classiche","Inizia il tuo viaggio in una capitale dinamica, cosmopolita e sempre sorprendente.","Dal 12 al 15 Marzo","https://framerusercontent.com/images/ONlwWVwi4iEgDjJjkaOSwDjZrw8.jpg","Big Ben tower","Perchè Londra","Londra è una città che non si ferma mai. Tradizione e innovazione convivono in ogni quartiere, rendendola perfetta per chi vuole un viaggio pieno di stimoli, ritmo e varietà.","https://framerusercontent.com/images/4QlD8mu8zWkO2z0YRGGpCJSI9E.jpg","white concrete building with gold statue under gray clouds during daytime","Icone britanniche","Dal Big Ben a Buckingham Palace, vivi i simboli più famosi della città.","https://framerusercontent.com/images/lrq5aNCPEesoV5w4jv2DqjRz7zo.jpg","a bike parked on the side of the road","Quartieri alternativi","Scopri Camden, Soho e zone creative dove Londra mostra la sua anima più autentica.","https://framerusercontent.com/images/ZNC666R7Q9qCPbBd68fboszW6QU.jpg","red So Ho Ho lED sign","Nightlife e cultura","Pub storici, musica dal vivo e una scena culturale tra le più vivaci d’Europa.","La Tua Esperienza a Londra","Attraversa la città tra mercati, musei e strade iconiche. Vivi giornate intense e serate piene di energia. A Londra ogni angolo racconta una storia diversa.","259€","Orlando Hotel","","4 giorni e 3 notti"
"parigi","Parigi","","Mete classiche","Inizia il tuo viaggio nella città più iconica d’Europa, tra romanticismo, arte e atmosfera senza tempo.","Dal 19 al 22 Marzo","https://framerusercontent.com/images/QJ08SyaiGu9SZXl3CbaOkpXugM.jpg","Eiffel Tower, Paris France","Perchè Parigi","Parigi non ha bisogno di presentazioni. È una città che emoziona sempre, anche alla prima volta. Elegante, intensa e viva, è la meta ideale per chi vuole un viaggio che unisce bellezza, cultura e sensazioni forti.","https://framerusercontent.com/images/VzqZOI32Prpd1BEemteRmwE.jpg","white concrete building under blue sky during daytime","Icone senza tempo","Passeggia tra la Tour Eiffel, Montmartre e i boulevard parigini, vivendo la città più fotografata al mondo.","https://framerusercontent.com/images/XnhXsWc3BbpqWOAzqSI8RO8znzM.jpg","brown concrete building during night time","Arte e cultura","Musei, quartieri storici e angoli pieni di storia rendono ogni passeggiata un’esperienza.","https://framerusercontent.com/images/duHUNJavCQMYej51sxpYmP8kpKs.jpg","heart shaped pink sparklers photography","Atmosfera romantica","Caffè, luci soffuse e scorci suggestivi rendono Parigi perfetta da vivere con calma.","La Tua Esperienza a Parigi","Cammina senza fretta tra quartieri iconici e strade meno conosciute. Assapora l’atmosfera unica della città, tra arte, storia e momenti da ricordare. Parigi non si visita: si vive.","339€","Ibis Paris","","4 giorni e 3 notti"
"sofia","Sofia","","Mete classiche","Inizia il tuo viaggio in una capitale autentica, tra storia millenaria e natura sorprendente.","Dal 19 al 22 Marzo","https://framerusercontent.com/images/dKgWXYpDJ4kw8WXzbIm71o6cw.jpg","green and blue dome building under blue sky during daytime","Perchè Sofia","Sofia sorprende per la sua autenticità. È una città che non si mostra subito, ma conquista lentamente: tra strade storiche, caffè locali e panorami montani, offre un’esperienza vera, rilassata e profondamente diversa dalle classiche capitali europee. Perfetta per chi cerca qualcosa di nuovo, senza rinunciare al comfort.","https://framerusercontent.com/images/EXFlUSWwoWFycWmDtgIW4x97U.jpg","A large building with a flag on top of it","Storia e cultura millenaria","Passeggia tra chiese ortodosse, rovine romane e palazzi simbolo della città.","https://framerusercontent.com/images/4SUpYE3tfBnHhRTqgj6Hz4AouQ.jpg","red tulip flowers near yellow house","natura e relax urbano","Sofia è una delle poche capitali europee circondate dalla natura e dalle montagne.","https://framerusercontent.com/images/MbJ7b0qa2QBjSc7lbvZq4EkQoHI.jpg","brown concrete building during night time","Vita locale autentica","Scopri mercati, locali tradizionali e un’atmosfera genuina, lontana dal turismo di massa.","La tua esperienza a Sofia","Cammina tra passato e presente nel cuore della città. Scopri angoli nascosti, chiese iconiche e strade che raccontano secoli di storia. Rallenta il ritmo, osserva la vita locale e lasciati sorprendere da una capitale che non cerca di impressionare, ma di farsi vivere. A Sofia, ogni giornata ha il suo equilibrio.","219€","Aparthotel Bon Bon","","4 giorni e 3 notti"
"tirana","Tirana","","Mete classiche","Inizia il tuo viaggio in una capitale sorprendente, autentica e fuori dai soliti circuiti.","Dal 19 al 22 Marzo","https://framerusercontent.com/images/wAd6BOPJZWrTT4B2Sa6LwUpY.jpg","a large white building with two towers on top of it","Perchè Tirana","Tirana è perfetta per chi cerca qualcosa di diverso. Vera, diretta e senza filtri, è una città che si lascia scoprire lentamente e regala un’esperienza genuina e fuori dal turismo di massa.","https://framerusercontent.com/images/TxDO89cu4xUg4nvt65ILX4XHFY.jpg","a group of people walking across a parking lot next to a tall building","Storia e Identità","Scopri una città segnata dalla sua storia recente, tra architetture simboliche e piazze vive.","https://framerusercontent.com/images/aMuSS02liSaPR7Mhkm4uBQBDw.jpg","","Vita locale autentica","Mercati, caffè e ritmi rilassati raccontano la vera anima di Tirana.","https://framerusercontent.com/images/COg4jcjSKNmpG7Uf4Q2YSc7h50.jpg","","Energia giovane","Una capitale in crescita, dinamica e sorprendentemente vivace.","La Tua Esperienza a tirana","Cammina tra strade colorate e quartieri in trasformazione. Osserva la vita quotidiana e lasciati sorprendere da una capitale che non cerca di apparire, ma di farsi vivere. Tirana è una scoperta continua.","189€","Belux hotel","","4 giorni e 3 notti"
"budapest","Budapest","","Mete classiche","Inizia il tuo viaggio tra terme storiche, luci sul Danubio e atmosfera senza tempo.","Dal 12 al 15 Marzo","https://framerusercontent.com/images/N30so8P88xeRoYAdG4cdAz2EeGY.jpg","","Perchè Budapest","Budapest è una città che sa rallentare e accelerare allo stesso tempo. Elegante e vibrante, unisce relax, cultura e divertimento in un equilibrio perfetto. È la meta ideale per chi vuole vivere un weekend intenso, autentico e memorabile.","https://framerusercontent.com/images/LpYguSH7Agmv9JnSxISSIuoN4.jpg","people in swimming pool during daytime","Terme storiche","Rilassati nelle iconiche terme di Budapest, tra architetture eleganti e vasche calde all’aperto.","https://framerusercontent.com/images/rozV7tbSY2s3Nop5n0yMZTH5DPM.jpg","a river with boats on it and buildings on the side","Danubio by night","Scopri la città quando si accende: ponti illuminati, riflessi sull’acqua e panorami suggestivi.","https://framerusercontent.com/images/RTAvOXVxt024uPgaxWNrai5oUs.jpg","a room with a door and windows","Ruin bar","Vivi la nightlife più originale d’Europa nei famosi ruin bar, tra musica, luci soffuse e locali alternativi.","La tua esperienza a budapest","Passeggia tra Buda e Pest mentre la città si accende al tramonto. Rilassati nelle storiche terme e vivi la sera tra locali alternativi e atmosfere uniche. A Budapest ogni momento diventa parte del viaggio.","239€","The Royals downtown","","4 giorni e 3 notti"
